UserID,Email,Password,Privilege
1,admin@gmail.com,admin123,1
2,arsalan@gmail.com,1234567890,1
3,jeannie@gmail.com,987654321,1
4,longhui@gmail.com,1234567890,1
5,user@gmail.com,12345,0
6,sgomez@gmail.com,87346239,0
7,ariana@yahoo.com,23yi21y,0
8,justinbieber@hotmail.com,cbhjewgf783,0
9,lbjames@gmail.com,32yehkj3,0
10,carlosjones@yahoo.com,98njkds,0
11,madilyn123davidson@hotmail.com,382henjm,0
12,elijah.h@gmail.com,39ojkdn,0
13,rosalarson@hotmail.com,2121FDG2,0
14,adonishale987@hotmail.com,098076fb,0
15,bob.r@gmail.com,bobbtbbotb,0
